ID;Name;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Calories;Fat;Saturated_Fat;Carbohydrates;Net_Carbohydrates;Sugar;Cholesterol;Sodium;Protein;Type;Link;Image_Type
643786;Fried Rice - Chinese comfort food;62.74;100;18.4;30.79;62.47;98.71;0;422.1;18.88;5.87;46.9;43.58;2.2;144.54;1458.34;15.75;Main_course;https://spoonacular.com/recipeImages/643786-556x370.jpg;jpg
157963;Meatball Vegetable Soup;100;99.43;25.59;36.51;57.44;61.66;0;552.13;17.68;6.37;76.31;70.99;31.84;80.96;850.41;22.41;Main_course;https://spoonacular.com/recipeImages/157963-556x370.jpg;jpg
638308;Chicken Satay;15.93;81.12;11.1;14.76;54.83;100;0;833.7;72.88;30.22;19.5;14.8;7.41;122.5;1198.05;30.81;Main_course;https://spoonacular.com/recipeImages/638308-556x370.jpg;jpg
660128;Simple Rendang;10.46;100;13.41;16.59;70.23;56.21;20.25;727.81;50.25;14.19;4.53;4.14;1.48;245.55;327.97;61.3;Main_course;https://spoonacular.com/recipeImages/660128-556x370.jpg;jpg
638257;Chicken Porridge;50.03;100;15.4;26.38;66.94;71.46;0;393.05;6.53;1.58;53.46;51.34;7.27;57;826.49;27.74;Breakfast;https://spoonacular.com/recipeImages/638257-556x370.jpg;jpg
647311;Honey-Glazed Grilled Chicken;14.5;100;22.7;22.66;70.25;55.7;0.42;151.51;3;0.65;4.17;3.77;2.39;72.32;518.31;0.52;Main_course;https://spoonacular.com/recipeImages/647311-556x370.jpg;jpg
638714;Chinese Style Chicken and Noodle Stir Fry;40.11;100;26.47;38.59;86.41;64.04;0.00595;469.37;10.01;1.71;62.7;56.64;5.61;89.65;1192.51;30.94;Main_course;https://spoonacular.com/recipeImages/638714-556x370.jpg;jpg
652332;Monastery soup;31.04;100;18.45;18.87;28.33;66.08;0;292.59;7.51;0.8;51.59;43.75;8.46;0;1247;6.97;Main_course;https://spoonacular.com/recipeImages/652332-556x370.jpg;jpg
652824;My Asian Fried Fish Fillet;100;12.72;1.79;1.73;7.14;14.26;0;354.62;3.5;1.03;59.66;58.56;50.24;96.23;613.15;2.01;Main_course;https://spoonacular.com/recipeImages/652824-556x370.jpg;jpg
654460;Pan-Fried Stuffed Tofu With Oyster Sauce;67.85;100;17.25;33.41;44.25;61.8;0;405.67;21.36;5.87;24.38;22.2;13.42;44.38;4380.15;29.75;Main_course;https://spoonacular.com/recipeImages/654460-556x370.jpg;jpg
