ID;Name;Gender;Age;Height;Weight;Activity_Level;Goals;Fruit_Level;Healthy_Food_Level;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Calories;Protein;Fat;Carbohydrates;643786;157963;638308;660128;638257;647311;638714;652332;652824;654460;645694;633105;648506;634705;664573;639120;640634;663108;1697575;632342;1697767;660370;648749;641944;652679;649280;638420;640815;1095743;1096057;634891;75081;638035;636488;638382;680975;645863;715448;1697739;636682;653371;660820;634496;634476;649487
1;Unknown;Female;25;165;44;Active;Maintaining Weight;2;2;1.71642;3.032388889;1.057806667;0.939548889;2.007275556;2.654415556;0.011805381;2180.78295;81.77936063;48.46184333;354.3772294;3;2;4;1;4;4;4;4;5;2;4;1;5;4;4;4;4;3;5;4;4;5;4;4;1;3;4;5;5;1;4;4;5;4;1;4;5;3;1;1;5;5;4;4;5
2;Unknown;Male;20;178;80;Active;Maintaining Weight;2;3;1.82952;3.311848889;1.181104444;1.096711111;2.194735556;2.864175556;0.03234769;3315.50865;124.3315744;73.67797;538.7701556;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
3;Unknown;Male;22;159;54;Moderate active;Maintaining Weight;4;4;1.483164444;2.648257778;0.951522222;0.869906667;1.763284444;2.264673333;0.015739851;2256.76435;84.62866312;50.15031889;366.7242069;3;3;3;1;3;3;3;2;2;3;3;3;3;4;3;3;3;3;5;5;3;3;4;4;3;2;4;3;5;3;2;2;2;2;4;5;4;2;2;2;2;4;2;4;2
4;Unknown;Male;22;180;75;Not active;Maintaining Weight;3;2;1.546406667;2.816115556;1.033555556;0.959875556;1.860302222;2.422617778;0.031055721;2219.748;83.24055;49.32773333;360.70905;5;3;3;4;3;3;4;3;2;3;2;4;2;3;3;3;3;3;4;4;2;4;4;3;4;4;3;2;3;4;4;3;3;3;3;4;3;3;3;3;3;4;4;3;4
5;Unknown;Male;20;162;70;Light activity;Maintaining Weight;1;3;1.954908889;3.479955556;1.215562222;1.113573333;2.32928;3.017915556;0.026560238;1704.486;63.918225;37.87746667;276.978975;5;4;4;2;3;4;4;2;5;2;3;5;5;5;4;3;3;5;5;5;5;4;5;5;4;2;5;5;5;5;3;5;5;4;4;5;4;3;3;5;5;3;4;4;3
6;Unknown;Male;21;176;96;Moderate active;Maintaining Weight;4;4;1.611586667;2.862455556;1.008608889;0.973124444;1.843317778;2.365548889;0.035172352;3294.1809;123.5317838;73.20402;535.3043963;2;2;4;5;5;2;2;1;4;5;1;5;1;1;1;5;1;1;3;3;5;3;5;5;5;3;3;3;3;5;3;5;5;1;1;4;4;3;5;5;5;4;4;3;4
7;Unknown;Female;21;168;63;Moderate active;Maintaining Weight;3;4;1.727604444;3.001108889;1.059011111;1.02442;2.043948889;2.601375556;0.026546712;2278.76815;85.45380562;50.63929222;370.2998244;4;5;4;3;4;4;5;3;5;3;4;3;5;5;5;3;3;5;2;2;2;4;4;4;3;3;2;4;5;3;3;4;3;3;3;2;5;5;4;2;4;3;3;4;3
8;Unknown;Male;21;170;50;Not active;Maintaining Weight;3;3;1.930908889;3.282324444;1.250357778;1.128362222;2.242804444;2.898002222;0.035468601;1755.312;65.8242;39.00693333;285.2382;3;5;4;5;3;3;5;3;5;4;5;4;5;5;5;1;4;5;2;5;3;5;3;1;3;3;1;4;5;3;4;5;4;3;5;5;5;5;5;3;4;5;5;4;3
9;Unknown;Male;20;169;52;Moderate active;Maintaining Weight;4;4;2.200051111;4.038882222;1.456377778;1.363962222;2.671377778;3.476808889;0.040448807;2312.61085;86.72290687;51.39135222;375.7992631;5;5;5;5;5;5;5;5;2;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
10;Unknown;Male;20;169;48;Moderate active;Maintaining Weight;3;4;2.276946667;4.052195556;1.446851111;1.344353333;2.683766667;3.507997778;0.038308037;2227.36085;83.52603188;49.49690778;361.9461381;5;5;5;5;2;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;4;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5
